full_address,lon,lat,transfer_tax,property_tax,property_tax_list
"1 Franklin St #5405, Boston, 2110",-71.059157,42.356057,176568,1001780.9199999999,"[105000.0, 105000.0, 105000.0, 105000.0, 105000.0, 105000.0, 112519.96, 125921.6, 133339.36]"

"1 Franklin St #PH3D, Boston, 2110",-71.059157,42.356057,394881,2042692.9600000002,"[212000.0, 212000.0, 212000.0, 212000.0, 216806.0, 220067.64, 232995.84, 256035.52000000002, 268787.95999999996]"

"1 Garden St #4, Boston, 2114",-71.067029,42.361064,0,76191.0,"[2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 2700.0, 2823.2000000000003, 2831.02, 2932.82, 3099.41, 3293.8, 3443.09, 3544.4, 3945.9900000000002, 4661.67, 5115.6]"

"1 Huntington Ave #1001, Boston, 2116",-71.076991,42.349359,224347,3419839.96,"[133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 133000.0, 136384.0, 138680.6, 147783.56, 164006.28, 172985.52]"

"1 Huntington Ave #208, Boston, 2116",-71.076991,42.349359,44375,507446.5999999999,"[19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19713.98, 20547.120000000003, 21186.98, 21621.22, 23342.420000000002, 27819.64, 31215.239999999998]"

"1 Liberty Sq, Boston, 2109",-71.053611,42.329264,5606093,57383850.599999994,"[1959000.0, 1959000.0, 1959000.0, 1959000.0, 1959000.0, 1959000.0, 1959000.0, 2023448.0, 2081644.52, 2162837.0, 2153965.68, 2189309.12, 2261127.0, 2309765.68, 2345237.16, 2383640.96, 2386079.6, 2417813.64, 2469742.72, 2530336.56, 2576872.6, 2608455.08, 2733637.48, 2956728.48, 3080209.32]"

"1 Louisburg Sq #4, Boston, 2108",-71.068377,42.358046,49675,572436.54,"[19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19000.0, 19544.0, 20649.4, 21398.04, 21944.0, 22535.12, 22572.64, 23061.100000000002, 23860.38, 24793.02, 26018.6, 26990.8, 30844.4, 37711.92, 41513.119999999995]"

"1 Maple St, Boston, 2121",-71.086595,42.307877,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"

"1 Marlborough St #2, Boston, 2116",-71.082059,42.352044,8831,340735.94,"[7000.0, 7000.0, 7616.0, 7977.84, 8506.34, 9141.0, 9961.8, 10760.58, 11481.880000000001, 12488.18, 12378.24, 12816.279999999999, 13706.4, 14309.24, 14748.880000000001, 15224.86, 15255.1, 15648.4, 16292.02, 17043.04, 17619.800000000003, 18011.239999999998, 19562.78, 22327.8, 23858.24]"

