first_year_payment,yearly_payments,down_payment,adjusted_price,lat,lon,price,usage,style
110668,59243,51425,797095,42.288137,-71.053954,620000,3-FAM RES,DECKER
128651,31025,97626,488130,42.280908,-71.141861,385000,1-FAM RES,COLONIAL
170952,41226,129726,648628,42.294807,-71.057495,430000,CONDOMINIUM,DECKER
345361,83286,262075,1310371,42.351046,-71.084946,1100000,CONDOMINIUM,ROW-MIDDLE
274921,66299,208622,1043106,42.340246,-71.160422,840000,1-FAM RES,TUDOR
1236392,298167,938225,4691123,42.335651,-71.083973,3700000,3-FAM RES,ROW-MIDDLE
54215,13074,41141,205702,42.301936,-71.081498,160000,RES UDV LAND,DECKER
110013,26530,83483,417414,42.293276,-71.079965,325000,3-FAM RES,DECKER
359375,69170,290205,1160819,42.309172,-71.064686,1032500,3-FAM RES,DECKER
370335,89309,281026,1405131,42.351084,-71.086933,850000,BOARDING HSE,CONDO/APT
162645,39223,123422,617106,42.326833,-71.095806,480000,1-FAM RES,ROW-MIDDLE
37408,9021,28387,141931,42.305179,-71.059232,100000,1-FAM RES,CONVENTIONAL
165561,39926,125635,628176,42.283527,-71.09001,380000,3-FAM RES,SEMI DETACHD
52971,40292,12679,519827,42.312086,-71.07523,410000,3-FAM RES,DECKER
757381,182649,574732,2873657,42.334489,-71.078921,2200000,OTHER EXEMPT,CONDO/APT
480875,115967,364908,1824537,42.33443,-71.045703,1550000,1-FAM RES,SEMI DETACHD
193479,46659,146820,734097,42.344604,-71.094755,579000,CONDOMINIUM,MID-RISE
1207629,203143,1004486,3561358,42.332769,-71.109697,1950000,9 + UNIT APT,CONDO/APT
271462,65465,205997,1029981,42.32173,-71.104274,875000,3-FAM RES,DECKER
31438,7581,23857,119281,42.254769,-71.127649,101333,1-FAM RES,COLONIAL
1015511,244899,770612,3853060,42.341386,-71.077706,3000000,1-FAM RES,ROW-MIDDLE
352432,41803,310629,836795,42.333676,-71.053209,660000,1-FAM RES,CONVENTIONAL
45719,11025,34694,173470,42.283918,-71.129167,115000,2-FAM RES,CONVENTIONAL
760093,183303,576790,2883946,42.287355,-71.128499,2450000,4-8 UNIT APT,CONDO/APT
497396,182097,315299,2607281,42.329627,-71.035861,2150000,3-FAM RES,DECKER
260531,62829,197702,988509,42.374322,-71.064139,635000,CONDOMINIUM,ROW-MIDDLE
18409,4439,13970,69847,42.315107,-71.086872,50000,RES DEV LAND,DECKER
2198006,377022,1820984,6566399,42.342818,-71.057186,4475000,MXU RES+COM,CONDO/APT
516396,124533,391863,1959312,42.33597,-71.073825,1500000,CONDOMINIUM,ROW-MIDDLE
137853,33244,104609,523044,42.330086,-71.069835,370000,4-8 UNIT APT,ROW-MIDDLE
874777,177785,696992,2934703,42.359661,-71.068441,2000000,9 + UNIT APT,CONDO/APT
96906,23369,73537,367682,42.276794,-71.164353,290000,CONDOMINIUM,LOW-RISE
84710,20428,64282,321409,42.276726,-71.164281,250000,CONDOMINIUM,LOW-RISE
52414,12640,39774,198870,42.340925,-71.051061,150000,RES DEV LAND,CONVENTIONAL
238174,45842,192332,769327,42.317479,-71.089635,599000,3-FAM RES,SEMI DETACHD
169082,40775,128307,641531,42.376369,-71.031993,545000,3-FAM RES,DECKER
201281,48540,152741,763703,42.33465,-71.031155,615000,CONDOMINIUM,FREE-STANDNG
240984,58115,182869,914345,42.372804,-71.037339,700000,3-FAM RES,DECKER
642179,154867,487312,2436557,42.342403,-71.076918,1800000,3-FAM RES,ROW-MIDDLE
2173877,776917,1396960,11175677,42.342973,-71.099706,8000000,SUBSDZ HSNG,CONDO/APT
926887,223527,703360,3516798,42.344523,-71.081239,2900000,3-FAM RES,ROW-MIDDLE
565385,55494,509891,1208370,42.351007,-71.065413,865000,CONDOMINIUM,HIGH-RISE
681385,164322,517063,2585312,42.351007,-71.065413,1950000,CONDOMINIUM,HIGH-RISE
97355,40583,56772,567582,42.340289,-71.066838,399900,CONDOMINIUM,ROW-MIDDLE
187965,36064,151901,605835,42.340289,-71.066838,343000,CONDOMINIUM,ROW-MIDDLE
433333,83405,349928,1399714,42.361722,-71.139992,1175000,2-FAM RES,DUPLEX
96684,23316,73368,366837,42.273708,-71.069266,250000,1-FAM RES,CAPE COD
198490,47867,150623,753115,42.346649,-71.090327,594000,CONDOMINIUM,MID-RISE
285876,95695,190181,1394658,42.381871,-71.034744,1100000,2-FAM RES,TWO FAMILY
241034,58127,182907,914531,42.28225,-71.070833,736460,CONDOMINIUM,DECKER
241034,58127,182907,914531,42.28225,-71.070833,736460,CONDOMINIUM,DECKER
241034,58127,182907,914531,42.28225,-71.070833,736460,CONDOMINIUM,DECKER
1682105,0,1682105,1682106,42.332029,-71.044134,1429000,2-FAM RES,TWO FAMILY
